"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
283 0.679885449207692 1 14 "GO:0000003" "reproduction" 0.82845530786211
-1794 0.0152523513486803 2 12 "GO:0000012" "single strand break repair" 0.0677854084065309
-1261 0.000307633365903222 2 54 "GO:0000018" "regulation of DNA recombination" 0.00382180800152328
1696 0.00150846300890294 2 23 "GO:0000027" "ribosomal large subunit assembly" 0.0131155006455566
1153 0.00401329239607882 2 41 "GO:0000041" "transition metal ion transport" 0.0260059546853027
-123 0.745212771418962 2 46 "GO:0000045;GO:1905037" "autophagosome organization" 0.858998390004928
-2839 7.27022719250925e-07 5 20 "GO:0000070;GO:0000819" "sister chromatid segregation" 2.3396116664087e-05
-2572 7.15379803650794e-06 2 20 "GO:0000076" "DNA replication checkpoint signaling" 0.000160569702147166
-1846 2.69960487021419e-05 2 34 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.000511393234634192
-1952 2.17095247915958e-09 2 62 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 9.50592470792662e-08
-1785 3.2341120627696e-07 2 54 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 1.09592535171115e-05
1585 0.000255017208704332 4 35 "GO:0000096" "sulfur amino acid metabolic process" 0.00322820362298233
-1459 0.000644398632087735 3 36 "GO:0000132;GO:0040001;GO:0051294" "establishment of mitotic spindle localization" 0.00689757810205592
-36 0.947634524082935 4 22 "GO:0000154" "rRNA modification" 0.972016825585837
45 0.867939059577078 2 91 "GO:0000165" "MAPK cascade" 0.927990744645861
-254 0.462354263131972 2 55 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.673622860419253
-1062 0.169174182738518 -1 11 "GO:0000186" "obsolete activation of MAPKK activity" 0.36178081833033
617 0.187706444193842 -1 30 "GO:0000187" "obsolete activation of MAPK activity" 0.391869703936313
-282 0.139795144583979 8 183 "GO:0000209" "protein polyubiquitination" 0.320508867968934
-1036 0.05262613631778 3 23 "GO:0000212" "meiotic spindle organization" 0.16595561995843
-741 1.03016856328756e-06 3 295 "GO:0000226" "microtubule cytoskeleton organization" 2.95868842208717e-05
-862 0.264289747280246 2 11 "GO:0000245" "spliceosomal complex assembly" 0.481526545010598
37 0.955314533445702 2 15 "GO:0000266" "mitochondrial fission" 0.976145799094671
-402 0.543725489565514 5 15 "GO:0000271" "polysaccharide biosynthetic process" 0.738139119129149
1754 0.0177115557504663 3 12 "GO:0000272" "polysaccharide catabolic process" 0.0748537427365435
-849 0.000204785795880472 3 127 "GO:0000278" "mitotic cell cycle" 0.00270783594453832
-934 0.00018855101293365 2 106 "GO:0000281;GO:0061640;GO:0000910" "cytoskeleton-dependent cytokinesis" 0.00253380282703451
-779 0.223830574198652 4 16 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.437665786006295
-587 0.294273638333103 2 21 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.516610077638059
-881 0.0855458796517074 2 25 "GO:0000291;GO:0043928" "nuclear-transcribed mRNA catabolic process, exonucleolytic" 0.231034423204965
-9 0.975313243971589 2 77 "GO:0000302;GO:0034614" "response to reactive oxygen species" 0.985272948051481
-751 0.15992789527675 9 23 "GO:0000380" "alternative mRNA splicing, via spliceosome" 0.349850457235216
-135 0.576175224483893 3 114 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.760733576172258
-107 0.502541837336498 3 264 "GO:0000398;GO:0000377;GO:0000375;GO:0008380" "RNA splicing" 0.704387673918523
-849 0.294763668408986 2 10 "GO:0000413" "protein peptidyl-prolyl isomerization" 0.516610077638059
123 0.770959442756268 4 37 "GO:0000422" "autophagy of mitochondrion" 0.8747802343254
369 0.618088566896755 2 12 "GO:0000423" "mitophagy" 0.789895760837607
1106 0.0479770376113411 2 21 "GO:0000460" "maturation of 5.8S rRNA" 0.155329293890778
-1055 0.153561351658402 5 12 "GO:0000467;GO:0031125;GO:0071035;GO:0071046;GO:0043634;GO:0071029;GO:0043633" "nuclear ncRNA surveillance" 0.339624782380721
